variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
873139,0,873063,,
873144,0,873063,,
873147,0,873063,,
873148,0,872360,,
873163,0,,,
873164,0,873063,,
873165,0,872360,,
873170,0,872360,,
873192,0,873063,,
873195,0,,,
873196,0,873063,,
873197,0,873063,,
873198,0,873063,,
873199,0,873063,,
873207,0,873063,,
873218,0,872360,,
873219,0,,,
873220,0,873063,,
873221,0,873063,,
873222,0,872360,,
873236,0,,,
873237,0,,,
873241,0,872360,,
873242,0,,,
873244,0,,,
873247,0,872360,,
873254,0,872360,,
873256,0,,,
873257,0,,,
873261,0,873063,,
873264,0,872360,,
873282,0,,,
873283,0,872360,,
873284,0,873063,,
873285,0,,,
873288,0,,,
873289,0,873063,,
873290,0,873063,,
873291,0,,,
873293,0,,,
873295,0,873063,,
873296,0,873063,,
873297,0,,,
873299,0,872360,,
873303,0,872360,,
873306,0,873063,,
873308,0,,,
873311,0,,,
873312,0,,,
873326,0,,,
873327,0,,,
873339,0,873063,,
873346,0,,,
873347,0,872360,,
873358,1,,,
873359,1,,,
873360,1,,,
873361,1,,,
873363,1,,,
873364,1,,,
873365,1,,,
873371,1,,,
873372,1,,,
873373,1,,,
873374,1,,,
873376,1,,,
873377,1,,,
873378,1,,,
873379,1,,,
873380,0,873063,,
873386,0,872360,,
873388,0,872360,,
873389,0,873063,,
873390,0,872360,,
873391,0,872360,,
873392,0,873063,,
873393,0,873063,,
873394,0,873063,,
873395,0,872360,,
873396,0,873063,,
873410,0,873063,,
873411,0,873063,,
873412,0,872360,,
873421,0,873063,,
873423,0,873063,,
873426,0,872360,,
873427,0,872360,,
873428,0,873063,,
873429,0,873063,,
873430,0,872360,,
873433,0,872360,,
873434,0,873063,,
873454,0,872360,,
873457,0,873063,,
873459,0,,,
873468,0,873063,,
873469,0,873063,,
873470,0,872360,,
873471,0,872360,,
873472,0,873063,,
873477,0,872360,,
873482,0,873063,,
873483,0,872360,,
873484,0,873063,,
873485,0,873063,,
873486,0,873063,,
873487,0,873063,,
873488,0,872360,,
873491,0,872360,,
873492,0,873063,,
873688,1,,,
873692,1,,,
873693,1,,,
873697,1,,,
873700,1,,,
873706,1,,,
873711,1,,,
873715,0,873063,,
873716,0,872360,,
873722,0,873063,,
873723,0,872360,,
873735,0,872360,,
873738,0,872360,,
873759,0,873063,,
873764,0,873063,,
873768,0,872360,,
873775,0,873063,,
873777,0,872360,,
873778,0,873063,,
873783,0,872360,,
873786,0,,,
873788,0,,,
873794,0,872360,,898
873796,0,873063,,
873801,0,873063,281,
873802,0,872360,,
873803,0,873063,281,
873804,0,873063,281,
873805,0,873063,,
873806,0,872360,,
873809,0,873063,,
873810,0,873063,,
873811,0,872360,,
873815,0,872360,,
873818,0,872360,,
873824,0,,,
873825,0,,,
873826,0,873063,,
873827,0,873063,,
873832,0,873063,,
873835,0,872360,,
873836,0,873063,,
873837,0,872360,,
873846,0,,,
873847,0,872360,,
873853,0,,,
873861,0,,,
873863,0,,,
873865,0,,,
873874,0,,,
873876,0,,,
873877,0,,,
873881,0,873063,,
873888,0,873063,,
873896,0,873063,,
873899,0,872360,,
873906,1,,,
873907,1,,,
873912,0,,,
873913,0,,,
873914,0,,,
873937,0,,,
873956,1,,,
873965,0,,,
873990,1,,,
874019,0,,,
874037,0,,,
874148,1,,,
874154,1,,,
874155,1,,,
874159,1,,,
874161,1,,,
874163,1,,,
874164,1,,,
874165,1,,,
874166,1,,,
874167,1,,,
874168,1,,,
874169,1,,,
874170,1,,,
874171,1,,,
874173,1,,,
874174,1,,,
874179,1,,,
874182,1,,,
874183,1,,,
874184,1,,,
874185,1,,,
874186,1,,,
874188,1,,,
874190,1,,,
874193,1,,,
874194,0,,,
874195,0,872360,,
874197,0,872360,,
874199,0,872360,,
874203,0,872360,,
874216,0,873063,,
874219,0,,,
874220,0,873063,,
874241,0,,,
874245,0,872360,,
874246,0,,,
874247,0,872360,,
874248,0,873063,,
874251,0,,,
874253,0,,,
874256,0,,,
874257,0,,,
874260,0,873063,,
874262,0,872360,,1149
874264,0,872360,,
874266,0,,,
874267,0,,,
874270,0,872360,,898
874271,0,873063,,
874273,0,873063,281,
874274,0,872360,,
874275,0,872360,,
874276,0,873063,,
874277,0,873063,,
874278,0,,,
874279,0,,,
874281,0,873063,,
874282,0,872360,,
874284,0,,,
874287,0,873063,,
874289,0,873063,,
874296,0,872360,,
874298,0,,,
874300,0,872360,,
874302,0,,,
874304,0,,,
874306,0,872360,,
874307,0,873063,,
874308,0,872360,,
874311,0,873063,,
874312,0,,,
874313,0,,,
874314,0,873063,,
874315,0,873063,,
874316,0,872360,,
874317,0,873063,,
874319,0,873063,,
874320,0,872360,,
874325,0,,,
874326,0,873063,,
874327,0,873063,,
874328,0,873063,,
874329,0,873063,,
874333,0,,,
874335,0,,,
874340,0,873063,,
874341,0,,,
874345,0,,,
874346,0,,,
874348,0,872360,,
874349,0,872360,,
874352,0,873063,,
874353,0,,,
874354,0,,,
874355,0,,,
874361,0,873063,,
874362,0,,,
874365,0,,,
874366,0,,,
874370,0,872360,,
874371,0,872360,,
874372,0,,,
874373,0,873063,,
874374,0,873063,,
874379,0,,,
874383,0,,,
874384,0,,,
874385,0,,,
874396,0,873063,,
874402,0,872360,,
874403,0,,,
874404,0,,,
874405,0,872360,,
874407,0,873063,,
874433,0,872360,,
874435,0,872360,,
874436,0,873063,,
874437,0,873063,,
874438,0,873063,,
874441,0,873063,,
874453,0,872360,,
874454,0,872360,,
874480,0,873063,,
874483,0,872360,,
874487,0,872360,,
874488,0,873063,,
874489,0,872360,,
874490,0,873063,,
874492,0,873063,,
874511,1,,,
874512,0,872360,,
874514,0,872360,,
874515,0,872360,,
874516,0,873063,,
874518,0,872360,,
874519,0,872360,,
874539,0,872360,,
874549,0,873063,,
874551,0,872360,,
874588,1,,,
874589,1,,,
874591,1,,,
874599,1,,,
874601,1,,,
874603,1,,,
874604,1,,,
874605,1,,,
874606,1,,,
874607,1,,,
874608,1,,,
874609,1,,,
874610,1,,,
874611,1,,,
874612,1,,,
874614,1,,,
874615,1,,,
874616,1,,,
874617,1,,,
874618,1,,,
874621,1,,,
874622,1,,,
874623,1,,,
874624,1,,,
874625,1,,,
874626,1,,,
874627,1,,,
874628,1,,,
874630,1,,,
874631,1,,,
874635,1,,,
874636,1,,,
874638,0,872360,,
874641,0,872360,,
874642,0,873063,,
874644,0,,,
874645,0,873063,,
874646,0,872360,,
874647,0,873063,,
874660,0,872360,,
874661,0,872360,,
874662,0,873063,,
874663,0,,,
874664,0,,,
874665,0,873063,,
874669,0,873063,,
874670,0,872360,,
874682,0,873063,,
874683,0,873063,,
874684,0,873063,,
874689,0,,,
874692,0,872360,,
874693,0,,,
874694,0,873063,,
874696,0,872360,,
874702,0,,,
874706,0,,,
874707,0,873063,271,
874708,0,,,
874709,0,873063,271,
874710,0,,,
874711,0,,,
874712,0,873063,,
874716,0,,,
874721,0,,,
874722,0,873063,,
874723,0,872360,,
874724,0,873063,,
874725,0,872360,,
874726,0,872360,,
874727,0,873063,,
874728,0,873063,,
874729,0,872360,,
874730,0,872360,,
874731,0,873063,,
874740,0,,,
874743,0,873063,,
874744,0,,,
874745,0,872360,,
874746,0,,,
874747,0,873063,,
874749,0,872360,,
874750,0,873063,281,
874751,0,,,
874752,0,,,
874753,0,,,
874754,0,873063,,
874755,0,872360,,
874756,0,872360,,
874758,0,873063,,
874760,0,872360,,
874761,0,872360,,
874764,0,873063,,
874765,0,,,
874766,0,872360,,
874767,0,,,
874768,0,,,
874769,0,,,
874773,0,873063,,
874777,0,,,
874779,0,,,
874783,0,873063,,
874784,0,,,
874785,0,872360,,
874786,0,,,
874787,0,873063,,
874788,0,873063,,
874789,0,,,
874790,0,,,
874791,0,,,
874792,0,873063,,
874794,0,,,
874796,0,,,
874797,0,872360,,
874798,0,,,
874800,0,872360,,
874801,0,,,
874805,0,873063,,
874806,0,,,
874808,0,,,
874809,0,872360,,
874810,0,,,
874813,0,,,
874821,0,,,
874822,0,872360,,
874825,0,873063,,
874826,0,,,
874829,0,,,
874835,1,,,
874836,1,,,
874837,1,,,
874838,1,,,
874839,1,,,
874840,1,,,
874841,1,,,
874842,1,,,
874844,1,,,
874845,1,,,
874846,1,,,
874847,1,,,
874848,1,,,
874849,1,,,
874850,1,,,
874851,0,872360,,
874852,0,873063,,
874854,0,,,
874856,0,,,
874857,0,873063,,
874858,0,873063,,
874859,0,872360,,
874860,0,872360,,
874861,0,872360,,
874863,0,872360,,
874864,0,,,
874865,0,,,
874866,0,,,
874870,0,,,
874871,0,,,
874872,0,,,
874873,0,,,
874874,0,873063,,
874875,0,,,
874878,0,872360,,
874879,0,872360,,
874880,0,,,
874881,0,,,
874883,0,,,
874884,0,,,
874885,0,,,
874886,0,872360,,
874888,0,,,
874889,0,,,
874893,0,872360,,
874894,0,,,
874895,0,,,
874896,0,,,
874898,0,,,
874899,0,,,
874900,0,,,
874901,0,872360,,
874902,0,872360,,
874904,0,873063,,
874905,0,,,
874906,1,,,
874907,1,,,
874908,1,,,
874909,1,873063,,
874910,0,,,
874912,0,872360,,
874913,0,,,
874914,0,873063,,
874915,0,,,
874917,0,,,
874920,1,,,
874979,1,,,
874980,1,,,
874981,1,,,
874982,1,,,
874989,1,,,
874990,1,,,
874991,1,,,
874993,0,,,
874994,0,872360,,
874995,0,872360,,
874997,0,872360,,
874998,0,872360,,
874999,0,872360,,
875000,0,872360,,
875004,0,873063,,
875005,0,873063,,
875008,0,872360,,
875009,0,872360,,
875019,0,872360,,
875025,0,872360,,
875027,0,873063,,
875032,0,,,
875036,1,,,
875037,1,,,
875038,1,,,
875039,1,,,
875040,1,,,
875041,1,,,
875042,1,,,
875043,0,872360,,
875045,0,872360,,
875046,0,873063,,
875047,0,873063,,
875048,0,872360,,
875050,0,873063,,
875051,0,873063,,
875052,0,872360,,
875053,0,872360,,
875054,0,873063,,
875055,0,873063,,
875056,0,872360,,
875057,0,873063,,
875058,0,873063,,
875059,0,873063,,
875060,0,872360,,
875061,0,873063,,
875062,0,873063,,
875063,0,873063,,
875064,0,873063,,
875065,0,872360,,
875066,0,872360,,
875067,0,872360,,
875068,0,872360,,
875069,0,872360,,
875070,0,873063,,
875071,0,872360,,
875072,0,873063,,
875073,0,873063,,
875074,0,873063,,
875075,0,,,
875076,0,872360,,
875077,0,872360,,
875078,0,873063,,
875079,0,873063,,
875080,0,872360,,
875081,0,873063,,
875082,0,872360,,
875083,0,873063,,
875084,0,872360,,
875085,0,873063,,
875086,0,872360,,
875087,0,873063,,
875088,0,872360,,
875089,0,873063,,
875090,0,872360,,
875091,0,872360,,
875092,0,872360,,
875093,0,873063,,
875094,0,873063,,
875095,0,872360,,
875096,0,873063,,
875097,0,872360,,
875098,0,873063,,
875099,0,873063,,
875100,0,872360,,
875101,0,872360,,
875102,0,872360,,
875103,0,873063,,
875104,0,872360,,
875132,1,,,
875133,1,,,
875134,1,,,
875135,1,,,
875136,1,,,
875137,1,,,
875138,1,,,
875139,1,,,
875140,1,,,
875141,1,,,
875142,1,,,
875143,1,,,
875144,1,,,
875145,1,,,
875146,0,,,
875147,0,,,
875148,0,,,
875149,0,,,
875152,0,,,
875153,0,,,
875154,0,,,
875155,0,,,
875156,0,,,
875158,0,,,
875160,0,,,
875161,0,,,
875162,0,,,
875163,0,,,
875164,0,,,
875166,0,,,
875168,0,,,
875171,0,,,
875172,0,,,
875173,0,,,
875177,1,,,
875178,1,,,
875179,1,,,
875180,1,,,
875181,1,,,
875182,1,,,
875183,0,,,
875184,0,,,
875185,0,,,
875186,0,,,
875187,1,,,
875188,1,,,
875189,1,,,
875190,1,,,
875191,1,,,
875192,1,,,
875193,0,,,
875194,0,,,
875197,0,,,
875198,0,,,
875199,0,,,
875200,0,,,
875201,0,,,
875205,0,,,
875206,0,,,
875207,0,,,
875208,0,,,
875209,0,,,
875210,0,,,
875211,0,,,
875213,0,,,
875214,0,,,
875215,0,,,
875216,0,,,
875217,0,,,
875218,0,,,
875219,0,,,
875220,0,,,
875221,0,,,
875222,0,,,
875223,0,,,
875225,0,,,
875227,0,,,
875228,0,,,
875230,0,,,
875231,0,,,
875234,1,,,
875235,1,,,
875236,1,,,
875237,1,,,
875239,0,,,
875240,0,,,
875241,0,,,
875242,0,,,
875246,0,,,
875248,0,,,
875249,0,,,
875251,0,,,
875254,0,,,
875255,0,,,
875256,0,,,
